Frequency (Hz),Power (dB),Z-score,Significance (p-value),Match Type,Target Frequency (Hz),Frequency Error (Hz)
1863.281,-62.18,9.93,0.00e+00,subharmonic_0.25,1867.0,-3.719
1869.141,-61.47,14.24,0.00e+00,subharmonic_0.25,1867.0,2.141
3228.516,-59.28,29.29,0.00e+00,anomaly,N/A,N/A
3234.375,-54.39,60.31,0.00e+00,anomaly,N/A,N/A
3240.234,-58.92,31.12,0.00e+00,anomaly,N/A,N/A
3726.562,-62.57,7.04,9.31e-13,subharmonic_0.5,3734.0,-7.438
3732.422,-57.49,36.30,0.00e+00,subharmonic_0.5,3734.0,-1.578
3738.281,-59.43,25.19,0.00e+00,subharmonic_0.5,3734.0,4.281
5666.016,-52.33,75.06,0.00e+00,anomaly,N/A,N/A
5671.875,-47.92,104.09,0.00e+00,anomaly,N/A,N/A
5677.734,-55.06,57.21,0.00e+00,anomaly,N/A,N/A
7458.984,-51.67,69.13,0.00e+00,main_frequency,7468.0,-9.016
7464.844,-37.18,156.53,0.00e+00,main_frequency,7468.0,-3.156
7470.703,-36.74,165.26,0.00e+00,main_frequency,7468.0,2.703
7476.562,-49.75,84.90,0.00e+00,main_frequency,7468.0,8.562
7482.422,-62.19,9.64,0.00e+00,anomaly,N/A,N/A
9867.188,-60.94,18.45,0.00e+00,anomaly,N/A,N/A
9873.047,-48.81,97.82,0.00e+00,anomaly,N/A,N/A
9878.906,-48.21,102.70,0.00e+00,anomaly,N/A,N/A
9884.766,-59.37,29.30,0.00e+00,anomaly,N/A,N/A
10658.203,-59.05,25.54,0.00e+00,anomaly,N/A,N/A
10664.062,-60.42,18.03,0.00e+00,anomaly,N/A,N/A
12339.844,-55.06,51.41,0.00e+00,anomaly,N/A,N/A
12345.703,-49.72,82.80,0.00e+00,anomaly,N/A,N/A
12351.562,-55.49,49.16,0.00e+00,anomaly,N/A,N/A
14929.688,-58.18,37.54,0.00e+00,harmonic_2,14936.0,-6.312
14935.547,-52.20,77.20,0.00e+00,harmonic_2,14936.0,-0.453
14941.406,-56.71,48.44,0.00e+00,harmonic_2,14936.0,5.406
18123.047,-60.30,21.01,0.00e+00,anomaly,N/A,N/A
18128.906,-57.46,37.94,0.00e+00,anomaly,N/A,N/A
18134.766,-61.91,11.37,0.00e+00,anomaly,N/A,N/A
22400.391,-57.09,40.09,0.00e+00,harmonic_3,22404.0,-3.609
22406.250,-56.09,44.21,0.00e+00,harmonic_3,22404.0,2.250
22412.109,-62.74,6.10,5.17e-10,harmonic_3,22404.0,8.109
